,sum_assured,Num_Policies,prem_rate_per1000,policy_fees,policy_Init_comm,policy_yearly_comm,acq_direct_expenses,acq_indirect_expense,main_direct_expenses,main_indirect_expenses,Total_years,discount_rate,asset_ret_rate,CSM_ret_Rate,risk_adjst_rate,mortality,lapse
0,220000,1,0.7,65,0.7,0.05,50,60,30,20,22,0.04,0.045,0.04,0.1,0.0002,0.05
1,228000,1,0.55,100,0.672396339,0.061625816,61,52,22,20,22,0.040665434,0.040035431,0.036305839,0.09640673,0.000641698,0.044033871
2,154000,1,0.85,91,0.68084865,0.060586165,64,51,31,20,22,0.035118012,0.046381125,0.038895627,0.088627969,0.000510998,0.059482926
3,206000,1,0.72,50,0.516647043,0.03125728,48,62,24,20,22,0.044739167,0.04060625,0.042588403,0.083191011,0.000676039,0.047039233
4,214000,1,0.62,98,0.615653761,0.071303252,49,69,33,20,22,0.042753793,0.04391499,0.039011532,0.093414033,0.000476546,0.042589341
5,200000,1,0.74,63,0.624992052,0.051243182,60,58,34,20,22,0.041753135,0.04489851,0.040776809,0.087901707,0.000502771,0.053593846
6,232000,1,0.95,85,0.519377703,0.064258999,60,66,28,20,22,0.043595804,0.048085193,0.042716224,0.089925555,0.000663724,0.043378736
7,235000,1,0.63,82,0.58652251,0.05536621,57,64,38,20,22,0.044068863,0.043521823,0.04403362,0.110607081,0.000596143,0.043711372
8,177000,1,0.64,96,0.521382398,0.061960937,55,54,40,20,22,0.040894266,0.046151915,0.036330014,0.09043325,0.000657649,0.042871045
9,159000,1,0.69,55,0.654881839,0.071191271,69,60,39,20,22,0.040077289,0.040510595,0.041229702,0.099673353,0.000593944,0.04634376
10,202000,1,0.66,98,0.597932481,0.037070988,67,52,40,20,22,0.035644004,0.049613459,0.044519007,0.09286086,0.000641484,0.055789003
11,207000,1,0.52,72,0.550063424,0.072032125,46,66,37,20,22,0.04365496,0.045888362,0.035972651,0.093189871,0.000585553,0.047525991
12,233000,1,0.61,93,0.67883923,0.024288668,59,54,38,20,22,0.035699091,0.040490254,0.044826664,0.112352776,0.000621057,0.051791873
13,195000,1,0.59,68,0.698948312,0.061816347,68,63,23,20,22,0.036009819,0.047479437,0.04052471,0.118241316,0.000431037,0.041602504
14,176000,1,0.87,99,0.437296031,0.077144249,69,53,33,20,22,0.041874203,0.049598841,0.03701085,0.082112857,0.000618845,0.053640212
15,201000,1,0.88,99,0.749422183,0.04173951,66,56,25,20,22,0.037665326,0.047574931,0.040657006,0.096672962,0.000656899,0.058548588
16,193000,1,0.88,67,0.485189247,0.078866669,45,67,23,20,22,0.043160632,0.042578226,0.041553034,0.085874297,0.000630947,0.056659356
17,154000,1,0.59,83,0.715478253,0.045575191,58,68,20,20,22,0.036209093,0.040916464,0.037893524,0.101948491,0.000584123,0.040109425
18,205000,1,0.77,78,0.579021437,0.068623531,42,61,39,20,22,0.038280929,0.043771863,0.042175482,0.094480242,0.000674971,0.04310501
19,223000,1,0.76,59,0.503708278,0.022774492,60,60,34,20,22,0.038831607,0.040850863,0.042975668,0.109874208,0.000401167,0.051479949
20,209000,1,0.61,81,0.734367333,0.044284397,41,57,20,20,22,0.041534803,0.045246355,0.040597487,0.083002523,0.000568948,0.058500616
21,209000,1,0.62,77,0.660917908,0.060845283,60,63,26,20,22,0.037108373,0.042182665,0.042457802,0.101370793,0.000495315,0.056448175
22,225000,1,0.75,68,0.710468906,0.041959032,63,58,35,20,22,0.035685117,0.045117172,0.036268266,0.099380699,0.000482745,0.056379513
23,241000,1,0.81,59,0.586788871,0.04276485,61,69,31,20,22,0.036572556,0.042050252,0.042181142,0.103756845,0.00055265,0.041362965
24,221000,1,0.69,91,0.404218466,0.068649496,60,64,33,20,22,0.035720145,0.042394542,0.035610581,0.082701437,0.000473546,0.053039743
25,184000,1,0.63,96,0.549789561,0.028652477,68,51,24,20,22,0.03829189,0.042858996,0.035264201,0.093928528,0.000493519,0.056671876
26,177000,1,0.65,89,0.666453879,0.078363109,54,62,24,20,22,0.040321631,0.043211397,0.03925955,0.119293512,0.000475178,0.052780813
27,170000,1,0.9,56,0.685601521,0.021277787,68,50,24,20,22,0.043334941,0.042095992,0.044835785,0.080155503,0.000554557,0.046087816
28,156000,1,0.91,78,0.625784868,0.052104664,60,53,38,20,22,0.042099502,0.04577116,0.041337272,0.094188566,0.000676726,0.050261433
29,250000,1,0.87,78,0.628432237,0.020267814,62,63,34,20,22,0.035196299,0.048902761,0.03550439,0.095200983,0.000571803,0.053613865
30,175000,1,0.53,61,0.496792165,0.05266592,60,64,32,20,22,0.043539009,0.047224009,0.039421361,0.085759418,0.000542905,0.05352288
31,219000,1,0.73,100,0.766520609,0.064847116,65,59,37,20,22,0.035538618,0.047289449,0.042140972,0.099012685,0.000610748,0.052555044
32,249000,1,0.58,100,0.757480803,0.050760796,64,62,21,20,22,0.037080968,0.046986085,0.040801723,0.092849757,0.000560413,0.047094335
33,192000,1,0.94,83,0.53617273,0.045492395,45,54,23,20,22,0.043312069,0.040359233,0.036099391,0.097207082,0.000464001,0.051308385
34,239000,1,0.72,67,0.790458111,0.047952758,65,55,20,20,22,0.041884559,0.04682851,0.043402036,0.106051858,0.000558527,0.047361722
35,150000,1,0.77,81,0.765043544,0.037502112,54,69,36,20,22,0.04037606,0.04465368,0.041523629,0.087263299,0.00059732,0.046316917
36,186000,1,0.64,55,0.728418837,0.051719765,60,65,33,20,22,0.041589869,0.046714245,0.037888541,0.110737873,0.00060662,0.051131376
37,196000,1,0.93,72,0.660568224,0.05469886,63,55,39,20,22,0.044552243,0.041533988,0.036449668,0.104453693,0.000593456,0.048003324
38,220000,1,0.83,82,0.609216831,0.035832936,41,69,40,20,22,0.036426927,0.044839433,0.038037625,0.115156858,0.000483931,0.043432479
39,224000,1,0.89,66,0.476398091,0.075471834,41,50,22,20,22,0.035290482,0.041069243,0.040198803,0.097458386,0.00066053,0.042255855
40,183000,1,0.6,54,0.798215518,0.072281166,49,68,30,20,22,0.038969009,0.042983974,0.040218631,0.106250195,0.000412596,0.04929698
41,195000,1,0.68,72,0.547374958,0.043246897,51,60,34,20,22,0.039798047,0.044865304,0.035285254,0.09127443,0.00066528,0.046493943
42,246000,1,0.88,68,0.438485325,0.039173153,41,50,34,20,22,0.036471678,0.046874294,0.042153672,0.103758236,0.000440878,0.051584129
43,204000,1,0.63,53,0.763191972,0.044291888,67,68,29,20,22,0.039537072,0.04296946,0.036162605,0.098442663,0.000419085,0.04791933
44,187000,1,0.63,94,0.786907233,0.077825861,51,63,36,20,22,0.044976456,0.041027012,0.043676049,0.117284928,0.000572944,0.046092145
45,248000,1,0.86,78,0.605101017,0.046827521,48,53,24,20,22,0.036074189,0.045039814,0.036950071,0.08094827,0.000405277,0.047724803
46,170000,1,0.76,95,0.673424287,0.030901373,70,64,24,20,22,0.035835704,0.047251983,0.038151544,0.104013468,0.000646246,0.059575126
47,236000,1,0.57,90,0.628984719,0.071390757,62,62,37,20,22,0.035259254,0.04243062,0.044106445,0.09558018,0.000620459,0.04056241
48,200000,1,0.94,82,0.587857664,0.071454596,59,66,31,20,22,0.038290664,0.048950712,0.039100201,0.103254572,0.0004238,0.046958826
49,200000,1,0.54,81,0.709498621,0.071102174,65,50,22,20,22,0.043357376,0.047517619,0.044174537,0.095166779,0.000647653,0.044485599
50,192000,1,0.8,53,0.557974165,0.050789573,63,52,25,20,22,0.038631337,0.047100573,0.038505294,0.119085445,0.000567041,0.053613293
51,185000,1,0.75,68,0.497858453,0.034041169,50,68,37,20,22,0.043702132,0.046974173,0.04030621,0.116808215,0.000571275,0.049254167
52,203000,1,0.7,90,0.479217392,0.072799706,54,53,28,20,22,0.042367345,0.046398173,0.04174628,0.109447642,0.000650074,0.046583194
